,Unnamed: 0.1,Unnamed: 0,Korean,English
0,0,0,내가,I
1,1,1,그 ,that
2,2,2,난 ,I am
3,3,3,내 ,my
4,4,4,안 ,not
5,5,5,수 ,number
6,6,6,이 ,this
7,7,7,네 ,yes
8,8,8,거야 ,going to be
9,9,9,좀 ,a little
10,10,10,그래 ,okay
11,11,11,있어 ,there is
12,12,12,왜 ,why
13,13,13,더 ,more
14,14,14,그리고 ,and
15,15,15,우리 ,we
16,16,16,다 ,all
17,17,17,무슨 ,what
18,18,18,한 ,one
19,19,19,하지만 ,but
20,20,20,잘 ,well
21,21,21,어떻게 ,how
22,22,22,할 ,will do
23,23,23,,
24,24,24,정말 ,really
25,25,25,그럼 ,then
26,26,26,것 ,thing
27,27,27,게 ,crab
28,28,28,있어요 ,there is
29,29,29,있는 ,there is
30,30,30,해 ,sun
31,31,31,여기 ,here
32,32,32,넌 ,you
33,33,33,제가 ,I am
34,34,34,날 ,me
35,35,35,우리가 ,we
36,36,36,건 ,case
37,37,37,전 ,jeon
38,38,38,이제 ,now
39,39,39,지금 ,now
40,40,40,그게 ,that is
41,41,41,걸 ,girl
42,42,42,거 ,thing
43,43,43,아니 ,no
44,44,44,네가 ,you
45,45,45,없어 ,doesn't exist
46,46,46,돼 ,ok
47,47,47,저 ,I
48,48,48,우린 ,we
49,49,49,제 ,my
50,50,50,못 ,pond
51,51,51,좋아 ,good
52,52,52,당신이 ,you
53,53,53,다른 ,different
54,54,54,나 ,me
55,55,55,그런 ,that
56,56,56,그건 ,that
57,57,57,너무 ,too
58,58,58,그래서 ,so
59,59,59,그렇게 ,like that
60,60,60,다시 ,again
61,61,61,이건 ,This
62,62,62,,
63,63,63,나도 ,me too
64,64,64,모든 ,every
65,65,65,당신 ,you
66,66,66,거예요 ,Will
67,67,67,당신은 ,you are
68,68,68,아 ,ah
69,69,69,좋은 ,good
70,70,70,오 ,oh
71,71,71,때 ,at the time
72,72,72,너 ,you
73,73,73,하는 ,doing
74,74,74,하고 ,do
75,75,75,아냐 ,no
76,76,76,나는 ,I am
77,77,77,아니야 ,no
78,78,78,알아 ,know
79,79,79,같이 ,together
80,80,80,응 ,huh
81,81,81,이게 ,this
82,82,82,없어요 ,no
83,83,84,오늘 ,today
84,84,85,말이야 ,I mean
85,85,86,줄 ,line
86,86,87,또 ,also
87,87,88,널 ,you
88,88,89,누가 ,who
89,89,90,어떤 ,which
90,90,91,아주 ,very
91,91,92,말 ,word
92,92,93,아직 ,yet
93,93,94,안돼 ,no
94,94,95,진짜 ,really
95,95,96,모두 ,every
96,96,97,마 ,mind
97,97,98,같은 ,same
98,98,99,여기서 ,here
99,99,100,어서 ,hurry
100,100,101,그는 ,he is
101,101,102,위해 ,for
102,102,103,해요 ,do
103,103,104,일이 ,Days
104,104,105,하지 ,summer solstice
105,105,106,엄마 ,mom
106,106,107,,
107,107,108,가 ,go
108,108,109,근데 ,however
109,109,110,알고 ,know
110,110,111,이렇게 ,like this
111,111,112,빨리 ,hurry
112,112,113,있습니다 ,there is
113,113,114,이거 ,this
114,114,115,전에 ,before
115,115,116,어 ,uh
116,116,117,아뇨 ,no
117,117,118,계속 ,continue
118,118,119,닥터 ,doctor
119,119,120,얼마나 ,how much
120,120,121,될 ,be
121,121,122,알았어 ,okay
122,122,123,않아 ,No
123,123,124,제발 ,please
124,124,125,있지 ,Yes
125,125,126,겁니다 ,I will
126,126,127,어디 ,where
127,127,128,사람이 ,People
128,128,129,그가 ,he
129,129,130,안녕 ,hi
130,130,131,좋아요 ,great
131,131,132,같아 ,same
132,132,133,우리는 ,we are
133,133,134,그래요 ,is it so
134,134,135,당신을 ,you
135,135,136,자 ,ruler
136,136,137,그걸 ,that
137,137,138,두 ,two
138,138,139,아니에요 ,no
139,139,140,있을 ,There will be
140,140,141,때문에 ,because
141,141,142,대해 ,about
142,142,143,아빠 ,dad
143,143,144,몇 ,some
144,144,145,사람 ,person
145,145,146,했어 ,I did it
146,146,147,뭐야 ,what
147,147,148,수도 ,capital
148,148,149,많이 ,many
149,149,150,집에 ,at home
150,150,151,거지 ,the poor
151,151,152,일을 ,work
152,152,153,저는 ,I am
153,153,154,음 ,hmm
154,154,155,그렇지 ,yes
155,155,156,함께 ,together
156,156,157,만약 ,if
157,157,158,하나 ,one
158,158,159,저기 ,excuse me
159,159,160,고마워요 ,thank you
160,160,161,항상 ,always
161,161,162,나한테 ,To me
162,162,163,잠깐 ,for a moment
163,163,164,가서 ,Go
164,164,165,가장 ,most
165,165,166,돼요 ,can
166,166,167,거죠 ,That's it
167,167,168,가자 ,let's go
168,168,169,맞아 ,that's right
169,169,170,보고 ,report
170,170,171,와 ,and
171,171,172,그거 ,that
172,172,173,말을 ,say
173,173,174,괜찮아요 ,are you okay
174,174,175,아무도 ,no one
175,175,176,없는 ,Do not have
176,176,177,안녕하세요 ,hello
177,177,178,몰라 ,I don't know
178,178,179,일 ,Day
179,179,180,많은 ,many
180,180,181,당신의 ,your
181,181,182,아무것도 ,nothing
182,182,183,그러니까 ,therefore
183,183,184,큰 ,big
184,184,185,알아요 ,i know
185,185,186,그의 ,His
186,186,187,뭐가 ,what
187,187,188,고마워 ,thank you
188,188,189,그만 ,stop
189,189,190,했어요 ,i did it
190,190,191,젠장 ,shit
191,191,192,사람들이 ,People
192,192,193,거에요 ,It will be
193,193,194,이걸 ,This
194,194,195,그럴 ,That's right
195,195,196,것도 ,also
196,196,197,말이 ,words
197,197,198,이미 ,already
198,198,199,야 ,hey
199,199,200,,
200,200,201,뭔가 ,Something
201,201,202,온 ,on
202,202,203,이봐 ,hey
203,203,204,아니면 ,or not
204,204,205,같아요 ,same
205,205,206,그런데 ,however
206,206,207,아니라 ,not
207,207,208,세상에 ,oh my god
208,208,209,있다고 ,There is
209,209,210,있고 ,There is
210,210,211,뭐라고 ,what
211,211,212,예 ,yes
212,212,213,절대 ,never
213,213,214,말야 ,I mean
214,214,215,당장 ,right now
215,215,216,그래도 ,still
216,216,217,대한 ,About
217,217,218,말은 ,I mean
218,218,219,거기 ,there
219,219,220,전부 ,entire
220,220,221,둘 ,two
221,221,222,그녀는 ,she is
222,222,223,니가 ,You
223,223,224,갈 ,conflict
224,224,225,않아요 ,No
225,225,226,자기 ,self
226,226,227,있죠 ,Yes
227,227,228,하면 ,if
228,228,229,가지고 ,have
229,229,230,그들이 ,they
230,230,231,참 ,really
231,231,232,너도 ,you also
232,232,233,됐어 ,it's okay
233,233,234,미안해 ,Sorry
234,234,235,것을 ,Thing
235,235,236,여긴 ,This is
236,236,237,아무 ,any
237,237,238,사람은 ,people
238,238,239,감사합니다 ,thank you
239,239,240,다들 ,everyone
240,240,241,어때 ,how
241,241,242,씨 ,Seed
242,242,243,곧 ,soon
243,243,244,엄마가 ,Mom
244,244,245,나를 ,me
245,245,246,이젠 ,now
246,246,247,아마 ,maybe
247,247,248,그들은 ,they
248,248,249,얘기 ,talk
249,249,250,꼭 ,please
250,250,251,있잖아 ,Hey
251,251,252,저도 ,me too
252,252,253,지금은 ,now
253,253,254,그녀가 ,she
254,254,255,중 ,middle
255,255,256,있다 ,there is
256,256,257,시간 ,hour
257,257,258,먼저 ,first
258,258,259,우릴 ,us
259,259,260,말고 ,not
260,260,261,사람을 ,People
261,261,262,수가 ,medical charge
262,262,263,봐요 ,see
263,263,264,있는데 ,there is
264,264,265,알았어요 ,all right
265,265,266,해야 ,Sun
266,266,267,있었어 ,there was
267,267,268,우리의 ,Our
268,268,269,않을 ,won't
269,269,270,방금 ,just now
270,270,271,완전 ,very
271,271,272,된 ,done
272,272,273,동안 ,during
273,273,274,시간이 ,This time
274,274,275,싶어 ,want
275,275,276,본 ,copy
276,276,277,일은 ,work
277,277,278,친구 ,friend
278,278,279,들어 ,listen
279,279,280,안에 ,in
280,280,281,번 ,th
281,281,282,자네 ,you
282,282,283,합니다 ,do
283,283,284,사실 ,actually
284,284,285,한번 ,once
285,285,286,대체 ,how
286,286,287,같은데 ,Looks like
287,287,288,생각해 ,think
288,288,289,맞아요 ,that's right
289,289,290,볼 ,cheek
290,290,291,혼자 ,alone
291,291,292,,
292,292,293,절 ,I
293,293,294,그러니 ,so
294,294,295,선생님 ,teacher
295,295,296,사람들은 ,People
296,296,297,문제가 ,The problem
297,297,298,다음 ,next
298,298,299,물론 ,of course
